--attachable 	false 	Enable manual container attachment
--aux-address 	map[] 	Auxiliary IPv4 or IPv6 addresses used by Network driver
--config-from 	  	The network from which copying the configuration
--config-only 	false 	Create a configuration only network
--driver, -d 	bridge 	Driver to manage the Network
--gateway 	  	IPv4 or IPv6 Gateway for the master subnet
--ingress 	false 	Create swarm routing-mesh network
--internal 	false 	Restrict external access to the network
--ip-range 	  	Allocate container ip from a sub-range
--ipam-driver 	default 	IP Address Management Driver
--ipam-opt 	map[] 	Set IPAM driver specific options
--ipv6 	false 	Enable IPv6 networking
--label 	  	Set metadata on a network
--opt, -o 	map[] 	Set driver specific options
--scope 	  	Control the network’s scope
--subnet 	  	Subnet in CIDR format that represents a network segment
